galaxy,Mgas,err_Mgas,Mdust,err_Mdust,Z,err_Z
IC0794,nan,nan,441700.0,1368000.0,nan,nan
IC0797,458368583.1540993,7639476.417523108,3410000.0,560300.0,0.49203953568218967,0.029457035400673404
IC0800,55474459.969245896,2311435.774646793,616800.0,147700.0,0.3854783576663192,0.05680619008221376
IC0902,1125640924.3940265,129654979.00957914,10530000.0,1954000.0,0.4688133821459606,0.07124585853829893
IC0976,nan,nan,nan,nan,nan,nan
IC1613,75272302.3511106,8845.678311163883,38830.0,9095.0,0.1404685897378905,0.023611184295806106
IC2085,nan,nan,1347000.0,309400.0,nan,nan
IC2163,3179541741.731729,nan,nan,nan,nan,nan
IC2233,2198175388.9337263,249635059.94200167,809800.0,301900.0,0.2037042077708181,0.02439040615405702
IC2461,7213231921.332719,579634707.9642378,25830000.0,3493000.0,nan,nan
IC2531,10878735539.211836,1541254153.0195441,56690000.0,7449000.0,nan,nan
IC2574,2113978193.1073701,415245716.50323415,809700.0,319400.0,0.6715794832896993,0.17809142459607916
IC2828,144398868.69742903,2439170.0842601606,247100.0,381400.0,0.21777097723558358,0.015043086176087036
IC3019,nan,nan,nan,nan,nan,nan
IC3021,843586726.3078256,45192144.849677525,nan,nan,0.4613175745610621,0.09347562138823265
IC3023,46473877.20323258,558244.7715222596,nan,nan,0.2382319469361695,0.18431257477596
IC3033,347399023.36920357,5321210.246374398,926700.0,1117000.0,nan,nan
IC3044,690651844.8276227,5176191.493997858,457400.0,1049000.0,0.22594357702237833,0.036938056173985906
IC3059,561298598.4282783,7999504.71443702,3193000.0,3115000.0,nan,nan
IC3061,4184920082.4665904,31915501.088559225,15360000.0,3003000.0,0.5714786366727548,0.0907955950939691
IC3065,nan,nan,nan,nan,nan,nan
IC3077,9029413.02779846,785166.3184501672,nan,nan,0.3311311214830445,0.05108465813828472
IC3096,26296024.47028689,1845335.0324559072,108400.0,110400.0,0.3311311214830445,0.04803482780167067
IC3099,1563097433.59638,25301938.14056391,2058000.0,1948000.0,0.35399734108392805,0.0537971940356157
IC3100,nan,nan,35090.0,87170.0,nan,nan
IC3102,229429761.76452637,18502400.275707267,5926000.0,1265000.0,nan,nan
IC3104,15707015.919039091,3926753.9797597863,nan,nan,nan,nan
IC3105,382827163.3662273,3296174.805966809,304200.0,432900.0,0.13931568029468078,0.01860560010268388
IC3115,1390686290.9117236,11272026.552804325,8202000.0,3415000.0,nan,nan
IC3131,nan,nan,nan,nan,nan,nan
IC3167,nan,nan,76220.0,288300.0,nan,nan
IC3229,340645104.7640156,9772605.276970647,847600.0,1987000.0,0.2857590543378719,0.04671690224817364
IC3258,182005875.440859,3104577.72540971,712700.0,177600.0,0.17619760464136705,0.023936888694248103
IC3259,153216203.2388201,4853001.849435327,2009000.0,431200.0,0.4405548635071986,0.061879318742841395
IC3267,585237372.3412611,16439252.541252704,5214000.0,1179000.0,0.5321082592676071,0.08086482001283479
IC3268,1966605294.5254114,19498919.59187116,4055000.0,976300.0,0.30199517204060583,0.03407310948355869
IC3305,nan,nan,nan,nan,nan,nan
IC3311,287886907.01482564,9139266.748850545,2461000.0,1225000.0,0.3097419299220746,0.04921129338546631
IC3313,nan,nan,nan,nan,nan,nan
IC3322,434739006.29096395,6516430.422433784,3856000.0,714000.0,0.37670379898444084,0.05724790843306186
IC3331,nan,nan,nan,nan,nan,nan
IC3355,492645.0094038973,5068.3642305647,nan,nan,0.1327394457731152,0.029341811432598588
IC3358,nan,nan,nan,nan,nan,nan
IC3371,2588569929.323844,21045285.39467982,1740000.0,3643000.0,0.15703628043353113,0.030373509464390575
IC3381,nan,nan,268600.0,637300.0,nan,nan
IC3391,394871731.0258516,8830996.894205488,2938000.0,631500.0,0.3042829233370496,nan
IC3392,179031497.5279842,60834910.91918296,1083000.0,136200.0,0.5942921586165025,0.09168335377604382
IC3393,nan,nan,126300.0,561500.0,nan,nan
IC3413,nan,nan,3322000.0,3823000.0,nan,nan
IC3430,nan,nan,1592000.0,1241000.0,nan,nan
IC3459,nan,nan,nan,nan,nan,nan
IC3468,nan,nan,nan,nan,nan,nan
IC3475,628082839.1329612,108867692.1163803,4973000.0,5569000.0,nan,nan
IC3476,151157088.0425176,48350911.35489238,1316000.0,214100.0,0.3926449354001598,0.008136885375830077
IC3499,nan,nan,nan,nan,nan,nan
IC3509,nan,nan,nan,nan,nan,nan
IC3517,61673868.544671,4111591.44053637,725600.0,774100.0,0.27861211686334303,0.04298238317015605
IC3518,nan,nan,1696000.0,781900.0,nan,nan
IC3521,428258355.2386919,172051227.5539913,1597000.0,272100.0,0.6053408747548644,0.0627231993475934
IC3586,nan,nan,3415000.0,1635000.0,nan,nan
IC3611,464710038.0878902,23235502.250630517,10430000.0,13110000.0,0.306196343369479,0.043712674417869204
IC3631,112401698.27713013,nan,nan,nan,1.3427649611398138,0.9430083277894734
IC3718,10880567.6,544028.3881066571,38020.0,101500.0,nan,nan
IC4213,1037387696.5030885,9569997.208106244,2879000.0,949600.0,0.28379190284453015,0.036593480280137085
IC5270,7477375132.606732,92857230.53352356,14980000.0,3381000.0,0.8241381150140648,0.20304835078742312
IC5334,9722211488.870382,1294666354.0455558,11080000.0,4234000.0,nan,nan
NGC0007,1523196209.58237,122256537.87437493,1527000.0,3338000.0,nan,nan
NGC0115,3481491988.760359,315084749.8207712,4776000.0,2065000.0,nan,nan
NGC0131,1872880301.9973054,15499699.051012233,3237000.0,555600.0,0.8090958991794205,0.21610941012543722
NGC0147,nan,nan,34540.0,61360.0,nan,nan
NGC0148,2532458216.290823,nan,483400.0,2556000.0,nan,nan
NGC0150,5624416968.714198,472199185.8062309,12080000.0,1174000.0,0.4875284901039294,0.122360765875871
NGC0253,4490119326.896611,711776892.6474787,nan,nan,nan,nan
NGC0254,261655869.7140585,nan,499400.0,296400.0,nan,nan
NGC0274,3127093447.6944013,45016010.83206745,nan,nan,nan,nan
NGC0275,3272119414.2903466,nan,nan,nan,nan,nan
NGC0289,24905858069.96321,847207467.1339972,29490000.0,4814000.0,0.6870684400153418,0.017402369026310406
NGC0300,1902736698.2029204,150673565.9490644,5577000.0,1958000.0,0.32359365693006886,0.010431427028887968
NGC0337,3954230885.0355883,145353151.11000398,9039000.0,1576000.0,0.34995507018655164,nan
NGC0428,3920375300.6800756,6970588.834747824,5302000.0,1648000.0,0.2870780582028485,0.0198306497203133
NGC0448,nan,nan,nan,nan,nan,nan
NGC0450,1834220046.9675453,35965098.960147955,5388000.0,955000.0,0.3227087914811527,0.01709048241078677
NGC0493,3109983175.665712,12385436.664330479,10500000.0,1827000.0,0.35481338923406947,0.019607712500288046
NGC0520,6024756188.828831,nan,35360000.0,17920000.0,nan,nan
NGC0584,365392415.2241944,nan,2554000.0,1314000.0,nan,nan
NGC0586,96819049.25836095,nan,2485000.0,528400.0,nan,nan
NGC0613,20254964282.63898,5705970574.326327,76990000.0,7153000.0,0.6324118513772233,0.03349218833713098
NGC0625,143448520.24657154,13212363.706921149,231000.0,35630.0,0.18834396497824965,0.006505170091717212
NGC0628,21280088893.106483,263143245.1196108,29310000.0,12720000.0,0.5345643593977891,0.009847039401565375
NGC0678,1188429940.9039278,22007961.311895907,9174000.0,1645000.0,nan,nan
NGC0720,nan,nan,nan,nan,nan,nan
NGC0855,120360710.09715544,1973126.5557013284,230700.0,74250.0,nan,nan
NGC0891,7792596040.836124,888024486.2515613,49580000.0,5927000.0,nan,nan
NGC0895,13924314218.687746,612316566.0649171,43630000.0,5861000.0,0.4720630412642928,0.03804378626191445
NGC0925,8613063580.718061,4832381.182803934,11180000.0,1656000.0,0.34914031547906965,0.009647103429427352
NGC1052,58076707.716691844,nan,6820000.0,1876000.0,nan,nan
NGC1056,6448587755.2071705,25252568.36510843,12870000.0,2012000.0,0.4547748510276045,0.045027785083738364
NGC1068,4538570570.285119,1140031060.1418402,17470000.0,5614000.0,0.7491703324074108,0.02760045503224439
NGC1097,14294332744.639393,2231733197.411816,42740000.0,5255000.0,0.5847900841453914,0.07136603330507237
NGC1140,2625611977.541793,97706437.14660868,1617000.0,374500.0,0.31693628281555125,nan
NGC1189,2320804098.878244,nan,7715000.0,4425000.0,nan,nan
NGC1199,513187933.68976134,nan,nan,nan,nan,nan
NGC1222,2154562000.0,226796000.00000024,5859000.0,1061000.0,0.4036453929680292,0.09851935365864711
NGC1266,nan,nan,4038000.0,606000.0,nan,nan
NGC1316,nan,nan,nan,nan,nan,nan
NGC1317,nan,nan,3584000.0,497800.0,nan,nan
NGC1320,247511217.5193329,116902667.8746958,5329000.0,943100.0,nan,nan
NGC1336,nan,nan,475200.0,2000000.0,nan,nan
NGC1351,nan,nan,nan,nan,nan,nan
NGC1351A,620632413.6814072,128908103.42035207,4110000.0,725300.0,nan,nan
NGC1365,19640413189.53669,3124509986.3634944,79550000.0,35150000.0,0.6137620051657611,0.018372110168638
NGC1369,nan,nan,nan,nan,nan,nan
NGC1373,nan,nan,nan,nan,nan,nan
NGC1374,nan,nan,9214.0,618400.0,nan,nan
NGC1375,nan,nan,304000.0,1695000.0,nan,nan
NGC1377,nan,nan,956700.0,244200.0,nan,nan
NGC1379,nan,nan,nan,nan,nan,nan
NGC1380A,nan,nan,90990.0,133800.0,nan,nan
NGC1381,nan,nan,nan,nan,nan,nan
NGC1386,nan,nan,2624000.0,299700.0,nan,nan
NGC1387,nan,nan,2009000.0,376500.0,nan,nan
NGC1389,nan,nan,nan,nan,nan,nan
NGC1399,nan,nan,9548000.0,9644000.0,nan,nan
NGC1404,nan,nan,123000.0,174400.0,nan,nan
NGC1412,225159392.54450083,10611269.468766436,nan,nan,nan,nan
NGC1419,nan,nan,111700.0,1617000.0,nan,nan
NGC1427,nan,nan,nan,nan,nan,nan
